Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,MORT_30_AMI_Score,MORT_30_CABG_Score,MORT_30_COPD_Score,MORT_30_HF_Score,MORT_30_PN_Score,MORT_30_STK_Score,rating_group,READM_30_AMI_Score,READM_30_CABG_Score,READM_30_COPD_Score,READM_30_HF_Score,READM_30_HIP_KNEE_Score,READM_30_HOSP_WIDE_Score,READM_30_PN_Score,READM_30_STK_Score,TIME_OP_21_Score,TIME_OP_5_Score,EFF_EDV_Score,EFF_ED_1b_Score,EFF_ED_2b_Score,EFF_IMM_2_Score,EFF_IMM_3_OP_27_FAC_ADHPCT_Score,EFF_OP_18b_Score,EFF_OP_20_Score,EFF_OP_22_Score,EFF_OP_29_Score,EFF_OP_30_Score,EFF_OP_4_Score,EFF_PC_01_Score,EFF_STK_1_Score,EFF_STK_10_Score,EFF_STK_2_Score,EFF_STK_4_Score,EFF_STK_5_Score,EFF_STK_6_Score,EFF_VTE_1_Score,EFF_VTE_2_Score,EFF_VTE_3_Score,EFF_VTE_5_Score,EFF_VTE_6_Score,EXP_H_CLEAN_STAR_RATING_Score,EXP_H_COMP_1_STAR_RATING_Score,EXP_H_COMP_2_STAR_RATING_Score,EXP_H_COMP_3_STAR_RATING_Score,EXP_H_COMP_4_STAR_RATING_Score,EXP_H_COMP_5_STAR_RATING_Score,EXP_H_COMP_6_STAR_RATING_Score,EXP_H_COMP_7_STAR_RATING_Score,EXP_H_HSP_RATING_STAR_RATING_Score,EXP_H_QUIET_STAR_RATING_Score,EXP_H_RECMND_STAR_RATING_Score,EXP_H_STAR_RATING_Score,SAFETY_COMP_HIP_KNEE_Score,SAFETY_PSI_12_POSTOP_PULMEMB_DVT_Score,SAFETY_PSI_13_POST_SEPSIS_Score,SAFETY_PSI_14_POSTOP_DEHIS_Score,SAFETY_PSI_15_ACC_LAC_Score,SAFETY_PSI_3_ULCER_Score,SAFETY_PSI_4_SURG_COMP_Score,SAFETY_PSI_6_IAT_PTX_Score,SAFETY_PSI_7_CVCBI_Score,SAFETY_PSI_90_SAFETY_Score,SAFETY_HAI_1_SIR_Score,SAFETY_HAI_1a_SIR_Score,SAFETY_HAI_2_SIR_Score,SAFETY_HAI_2a_SIR_Score,SAFETY_HAI_3_SIR_Score,SAFETY_HAI_4_SIR_Score,SAFETY_HAI_5_SIR_Score,SAFETY_HAI_6_SIR_Score,MED_OP_10_Score,MED_OP_11_Score,MED_OP_13_Score,MED_OP_14_Score,MED_OP_8_Score,MED_OP_9_Score
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Government,Yes,3,1,2,1,0,1,1,1,-12.5,-4.2,-9.3,-12.4,-15.5,-15.4,1.0,16.5,15.1,21.1,21.4,5.1,15.4,18.7,12.7,-99.0,-8.25520523497918,-2.0,-269.0,-68.0,97.0,81.0,-196.0,-65.0,-4.0,72.82085456683653,82.0,96.12303980699639,-0.0,99.0,96.0,100.0,67.0,98.0,99.0,97.0,99.0,91.0,90.0,-0.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,-3.8,-3.32,-5.72,-2.72,-1.35,-0.07,-168.26,-0.36,-0.12,-0.68,-1.74,-2.433,-1.427,-2.307,-1.87,-0.0,-0.422,-0.787,-6.4,-0.9,-7.1,-2.4,-38.1,-6.9
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Government,Yes,3,0,1,2,1,1,2,0,-16.0,-3.3313706563706598,-7.6,-15.5,-20.8,-15.5,1.0,16.7,14.407609756097571,18.0,21.9,5.7,14.9,16.4,13.4,-60.0,-12.0,-3.0,-243.0,-71.0,99.0,83.0,-117.0,-27.0,-2.0,92.0,92.0,99.0,-1.0,98.0,99.0,100.0,89.59142212189616,99.0,88.0,95.0,94.0,100.0,100.0,-2.0308692120227456,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,-3.0,-5.63,-9.18,-2.11,-1.25,-0.14,-179.05,-0.47,-0.11,-0.85,-1.062,-0.648,-0.456,-0.698,-0.386,-0.8711765402843596,-1.388,-0.405,-13.3,-10.2,-5.3,-4.0,-42.8,-5.1
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Government,Yes,2,0,1,1,0,1,2,1,-16.7,-4.1,-7.1,-15.6,-18.2,-17.9,0.0,16.1,15.2,19.8,20.6,5.0,15.4,17.9,12.0,-58.0,-8.25520523497918,-2.0,-217.0,-78.0,100.0,87.0,-133.0,-10.0,-1.0,70.0,88.0,96.12303980699639,-0.0,99.0,100.0,100.0,89.59142212189616,99.0,97.0,98.0,89.0,86.0,92.0,-0.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,-3.8,-3.85,-10.254040976460342,-2.5,-1.93,-0.09,-198.33,-0.41,-0.24,-0.91,-0.341,-0.443,-0.641,-0.801,-0.31,-0.8711765402843596,-1.261,-0.513,-11.8,-4.6,-0.0,-4.6,-45.6,-9.1
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Voluntary,Yes,3,1,1,0,1,1,2,1,-14.054091300602925,-3.3313706563706598,-9.3,-14.4,-18.8,-16.6,1.0,16.89357410881801,14.407609756097571,19.9,21.1,4.615622423742788,16.6,17.3,12.7,-90.0,-7.0,-0.0,-219.0,-68.0,99.0,53.0,-119.0,-38.0,-1.0,0.0,0.0,89.0,-2.4202467035304127,80.0,85.0,100.0,89.59142212189616,100.0,71.0,97.0,99.0,93.2234753550543,92.86359447004608,-2.0308692120227456,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,-3.0429044269755976,-4.57,-9.89,-2.318955047318607,-1.2,-0.35,-136.7713924050633,-0.4,-0.16,-0.79,-0.5400385448245985,-0.5291246169560778,-0.0,-0.5821033393501804,-0.9639795511221948,-0.8711765402843596,-0.9872120872971472,-0.0,-24.3,-6.1,-4.716941747572817,-2.9644051130776847,-39.964766483516584,-20.7
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Others,Yes,3,1,1,1,1,1,2,1,-14.054091300602925,-3.3313706563706598,-8.2,-12.7,-15.7,-14.889759999999963,1.0,16.89357410881801,14.407609756097571,19.2,23.1,4.615622423742788,15.7,16.0,12.585075233834889,-49.0,-8.25520523497918,-0.0,-180.0,-56.0,95.0,43.0,-98.0,-27.0,-1.0,96.0,97.0,96.12303980699639,-2.4202467035304127,96.59431021044428,97.85886287625418,99.06987788331072,89.59142212189616,98.1979797979798,95.62861736334405,99.0,96.89949016751639,93.2234753550543,92.86359447004608,-2.0308692120227456,2.716745442268737,3.4186360567184333,3.0975692099932477,3.163403106009453,3.0773126266036464,2.9564483457123565,3.287981093855503,2.5364618501012828,3.4098582039162726,2.9047940580688723,3.0823767724510467,3.098919648885888,-3.0429044269755976,-5.045178940123873,-10.254040976460342,-2.318955047318607,-1.41,-0.45,-136.7713924050633,-0.41,-0.17,-0.9,-0.5400385448245985,-0.5291246169560778,-0.48320672023374717,-0.5821033393501804,-0.9639795511221948,-0.8711765402843596,-0.9872120872971472,-0.585,-3.6,-2.9362454873646207,-4.716941747572817,-0.6,-39.964766483516584,-8.2
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Voluntary,Yes,2,1,0,1,0,0,1,1,-13.9,-3.7,-7.4,-13.8,-17.9,-12.6,0.0,17.7,15.0,19.6,19.8,5.1,15.3,16.7,11.3,-74.0,-8.25520523497918,-2.0,-286.0,-71.0,83.0,53.0,-156.0,-54.0,-3.0,77.0,41.0,96.12303980699639,-0.0,55.0,97.85886287625418,99.06987788331072,0.0,98.1979797979798,90.0,60.0,69.0,65.0,100.0,-21.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,-3.7,-7.18,-9.66,-2.51,-1.54,-0.1,-157.92,-0.31,-0.15,-0.99,-0.557,-0.335,-0.395,-0.252,-1.428,-0.0,-0.885,-0.7,-2.4,-10.4,-4.716941747572817,-3.4,-36.2,-9.144957331264559
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Others,Yes,3,0,1,1,1,1,2,1,-16.8,-3.3313706563706598,-9.2,-12.5,-26.8,-15.8,1.0,16.1,14.407609756097571,19.2,23.4,4.615622423742788,15.3,19.4,12.8,-59.0,-0.0,-1.0,-189.0,-52.0,100.0,90.0,-120.0,-34.0,-2.0,100.0,100.0,100.0,-13.0,100.0,97.85886287625418,99.06987788331072,89.59142212189616,98.1979797979798,95.0,99.0,98.0,95.0,100.0,-2.0308692120227456,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,-2.8,-4.92,-11.78,-2.23,-1.58,-0.24,-136.7713924050633,-0.36,-0.15,-0.9,-0.5400385448245985,-0.5291246169560778,-0.0,-0.0,-0.9639795511221948,-0.8711765402843596,-0.9872120872971472,-0.225,-6.1,-10.8,-3.1,-2.9644051130776847,-39.964766483516584,-4.2
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Voluntary,Yes,3,1,2,2,0,2,0,0,-14.7,-3.6,-8.1,-14.0,-16.1,-15.8,1.0,17.7,15.8,17.9,21.5,5.0,14.7,17.1,12.4,-73.0,-8.25520523497918,-2.0,-310.0,-93.0,98.0,76.0,-203.0,-30.0,-2.0,88.0,100.0,96.12303980699639,-2.0,98.0,98.0,99.0,89.59142212189616,99.0,98.0,98.0,99.0,100.0,97.0,-0.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,-2.8,-2.84,-10.26,-1.95,-1.56,-0.84,-155.98,-0.41,-0.1,-0.8,-0.364,-0.236,-0.351,-0.16,-0.723,-0.8711765402843596,-1.58,-0.758,-31.4,-1.5,-4.7,-3.6,-37.8,-8.4
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Government,Yes,2,0,0,0,0,1,2,0,-15.6,-3.3313706563706598,-8.7,-12.9,-19.1,-15.4,0.0,16.89357410881801,14.407609756097571,23.0,22.4,4.1,15.9,18.3,13.5,-62.0,-3.0,-2.0,-188.0,-61.0,98.0,82.0,-115.0,-23.0,-1.0,72.0,100.0,99.0,-8.0,90.0,98.0,96.0,89.59142212189616,88.0,88.0,95.0,94.0,100.0,100.0,-2.0308692120227456,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,-1.8,-4.16,-10.254040976460342,-2.1,-2.13,-0.14,-135.38,-0.44,-0.13,-0.98,-0.697,-0.901,-0.089,-0.0,-0.423,-0.8711765402843596,-1.788,-0.371,-21.0,-0.8,-4.716941747572817,-4.4,-38.4,-4.5
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Government,Yes,4,1,1,1,2,2,2,1,-14.054091300602925,-3.3313706563706598,-6.4,-12.2,-14.3,-16.5,2.0,16.89357410881801,14.407609756097571,19.9,21.3,5.1,14.8,16.4,12.585075233834889,-44.0,-6.0,-0.0,-173.0,-54.0,100.0,96.0,-96.0,-20.0,-2.0,83.0,90.0,100.0,-2.4202467035304127,100.0,100.0,99.06987788331072,89.59142212189616,98.1979797979798,95.62861736334405,100.0,100.0,93.2234753550543,92.86359447004608,-2.0308692120227456,3.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,-3.9,-6.4,-9.43,-2.318955047318607,-1.7,-0.35,-136.7713924050633,-0.38,-0.16,-1.01,-0.5400385448245985,-0.5291246169560778,-0.0,-0.5821033393501804,-0.9639795511221948,-0.8711765402843596,-0.9872120872971472,-0.242,-4.2,-1.3,-1.5,-2.9644051130776847,-52.9,-9.9
